Curve	b0	A	umax	L	z	umax.lw	umax.up	umax.lw.FI	umax.up.FI	isolate	treatment	rep
A1	9.00E-04	-0.202	1.00E-04	6.6497	-3.0384	NA	NA	0	1.00E-04	14	Rpf+	1
A2	-0.059	1.0131	1.00E-04	15.5609	-3.6671	NA	NA	1.00E-04	1.00E-04	16	Rpf+	1
A3	-0.0582	-0.8576	1.00E-04	-72.1045	-3.7313	NA	NA	1.00E-04	1.00E-04	14	Rpf+	2
A4	0.0557	0.9421	0.0021	405.979	-4.8651	0.002	0.0021	0.0021	0.0021	17	Rpf-	4
A5	-0.0399	-0.6445	1.00E-04	-179.9951	-3.5241	NA	NA	1.00E-04	1.00E-04	14	Rpf-	1
A6	-0.5314	2.0224	0.001	-411.6876	-2.5294	NA	NA	9.00E-04	0.001	13	Rpf+	4
A7	0.0574	0.6435	0.001	1039.0391	-4.3637	NA	NA	0.001	0.001	15	Rpf+	2
A8	-0.0405	-0.2105	1.00E-04	-142.5002	-3.2006	NA	NA	1.00E-04	1.00E-04	16	Rpf+	2
B1	0.0557	0.9044	0.0022	391.8088	-4.8883	0.0021	0.0022	0.0021	0.0022	17	Rpf+	3
B2	0.09	1.475	0.0027	514.9158	-3.4933	0.0026	0.0029	0.0026	0.0028	18	Rpf+	1
B3	0.0903	1.4374	0.0027	519.4798	-3.4534	0.0026	0.0029	0.0027	0.0028	18	Rpf+	2
B4	0.0541	0.6562	0.0011	1081.9544	-4.7525	NA	NA	0.0011	0.0011	15	Rpf+	1
B5	0.055	0.6511	0.001	1071.1476	-4.7992	NA	NA	0.001	0.0011	15	Rpf+	4
B6	-0.0231	1.3779	0.0012	235.0138	-2.9029	0.0011	0.0013	0.0012	0.0012	13	Rpf-	1
B7	0.052	-0.406	3.00E-04	2185.6861	-4.1173	NA	NA	3.00E-04	3.00E-04	16	Rpf-	4
B8	-0.102	1.2207	1.00E-04	137.8669	-2.9971	NA	NA	1.00E-04	1.00E-04	16	Rpf-	3
C1	0.0559	0.6637	0.0011	959.9846	-4.3763	0.0011	0.0011	0.0011	0.0011	15	Rpf-	4
C2	0.0485	0.6879	0.0011	2025.1328	-4.641	NA	NA	0.0011	0.0011	14	Rpf-	2
C3	0.0531	-0.6631	3.00E-04	1936.6777	-3.9226	NA	NA	3.00E-04	3.00E-04	16	Rpf+	4
C4	0.0561	0.8971	0.0021	392.3704	-4.8902	0.0021	0.0022	0.0021	0.0021	17	Rpf-	3
C5	0.0975	1.2164	0.0026	501.1965	-3.4485	0.0025	0.0028	0.0026	0.0027	18	Rpf-	4
C6	0.0503	-1.5629	0.0024	2082.1569	-3.668	NA	NA	0.0023	0.0024	14	Rpf+	3
C7	0.0576	0.6499	0.0011	955.379	-4.316	0.001	0.0011	0.0011	0.0011	15	Rpf-	3
C8	-0.0081	1.333	0.0012	265.5712	-2.9576	0.0011	0.0013	0.0012	0.0012	13	Rpf-	2
D1	0.0276	1.0905	2.00E-04	595.8201	-3.6741	NA	NA	2.00E-04	2.00E-04	16	Rpf-	1
D2	0.0567	0.9094	0.0021	386.4303	-4.8863	0.0021	0.0022	0.0021	0.0021	17	Rpf+	2
D3	0.0553	0.655	0.0011	956.7792	-4.323	NA	NA	0.0011	0.0011	15	Rpf-	1
D4	-1.0452	2.5084	0.001	-902.9872	-2.5516	NA	NA	0.001	0.001	13	Rpf+	2
D5	0.0538	0.9008	0.0021	390.7129	-4.8765	0.0021	0.0022	0.0021	0.0021	17	Rpf+	4
D6	0.0571	0.908	0.0021	388.6517	-4.8853	0.0021	0.0022	0.0021	0.0021	17	Rpf+	1
D7	0.0898	1.4651	0.0027	512.0878	-3.4728	0.0026	0.0029	0.0027	0.0028	18	Rpf+	3
D8	-0.0404	-0.3702	1.00E-04	41.3351	-3.4501	NA	NA	1.00E-04	1.00E-04	14	Rpf+	4
E1	-0.1567	1.6246	0.001	26.6596	-2.8041	0.001	0.0011	0.001	0.0011	13	Rpf+	1
E2	0.0992	1.216	0.0026	505.5994	-3.4467	0.0025	0.0028	0.0026	0.0027	18	Rpf-	1
