Curve	b0	A	umax	L	z	umax.lw	umax.up	umax.lw.FI	umax.up.FI	isolate	treatment	rep
A1	0.0476	-0.3483	0.0014	828.8835	-5.0009	0.0014	0.0015	0.0014	0.0015	20	Rpf-	3
A2	0.0274	2.0188	0.0026	328.3054	-3.3306	0.0025	0.0027	0.0025	0.0026	22	Rpf+	3
A3	0.048	0.3702	0.0015	790.006	-4.477	0.0014	0.0016	0.0015	0.0016	20	Rpf+	2
A5	0.0262	1.8976	0.0023	329.5535	-3.2893	0.0022	0.0024	0.0022	0.0023	22	Rpf-	2
A6	0.0477	1.0301	0.0023	292.2801	-4.9547	0.0023	0.0024	0.0023	0.0024	21	Rpf-	3
A7	0.0465	-0.7061	0.0012	493.3726	-5.345	0.0012	0.0012	0.0012	0.0012	23	Rpf+	2
A8	-0.0047	-0.1481	1.00E-04	0.018	-3.3866	NA	NA	NA	NA	19	Rpf-	3
B1	0.0448	0.6717	0.0011	474.9537	-5.2964	0.0011	0.0011	0.0011	0.0011	23	Rpf+	4
B3	0.0498	0.9512	0.0025	395.7474	-4.8839	0.0025	0.0026	0.0025	0.0025	19	Rpf-	1
B5	0.0484	0.3392	0.0012	777.7793	-5.2421	0.0011	0.0012	0.0012	0.0012	20	Rpf-	4
B6	0.0294	2.0411	0.0026	329.2311	-3.3924	0.0025	0.0026	0.0025	0.0026	22	Rpf+	2
B8	0.0447	0.6832	0.0012	486.5772	-5.279	0.0011	0.0012	0.0011	0.0012	23	Rpf+	3
C1	0.0515	-0.9406	0.0026	393.3241	-4.6983	0.0026	0.0027	0.0026	0.0027	24	Rpf+	3
C2	0.0468	-0.976	0.0023	260.6984	-5.0171	0.0023	0.0023	0.0023	0.0023	21	Rpf-	1
C3	0.0525	-0.3221	0.0012	758.6757	-5.1817	NA	NA	0.0012	0.0012	20	Rpf-	2
C4	0.0512	-0.9357	0.0027	396.9601	-4.8852	0.0026	0.0028	0.0027	0.0027	24	Rpf+	2
C5	0.0285	2.0138	0.0025	323.3105	-3.4001	0.0025	0.0026	0.0025	0.0026	22	Rpf+	1
C6	0.0442	0.6796	0.0011	479.021	-5.2453	NA	NA	0.0011	0.0011	23	Rpf-	2
C7	0.0532	1.0396	0.0023	280.7034	-5.0547	0.0023	0.0024	0.0023	0.0024	21	Rpf+	1
C8	0.0274	1.9322	0.0023	323.8063	-3.3066	0.0022	0.0024	0.0023	0.0024	22	Rpf-	3
D1	0.0317	2.0215	0.0026	325.6027	-3.4293	0.0025	0.0027	0.0026	0.0027	22	Rpf+	4
D2	0.0465	0.9477	0.0024	403.5382	-4.7943	0.0024	0.0025	0.0024	0.0025	24	Rpf-	1
D3	0.0468	0.9613	0.0023	270.8715	-5.1212	0.0022	0.0023	0.0023	0.0023	21	Rpf-	2
D4	0.0385	0.685	0.0007	686.9983	-3.7639	0.0007	0.0008	0.0007	0.0008	20	Rpf-	1
D5	0.0472	0.9254	0.0025	403.7179	-4.8481	0.0025	0.0026	0.0025	0.0025	24	Rpf-	3
D6	0.0484	-0.3567	0.0013	745.5457	-5.1631	NA	NA	0.0013	0.0014	20	Rpf+	3
D7	0.048	0.9547	0.0023	268.534	-5.0151	0.0022	0.0023	0.0022	0.0023	21	Rpf-	4
D8	0.0547	0.9568	0.0027	348.1308	-4.9712	0.0026	0.0027	0.0027	0.0027	24	Rpf+	1
E2	0.0445	-0.6711	0.0011	472.3816	-5.1926	0.0011	0.0011	0.0011	0.0011	23	Rpf-	1
E3	0.0531	1.0161	0.0024	281.8928	-5.1763	0.0024	0.0024	0.0024	0.0024	23	Rpf+	3
E4	0.0508	0.9961	0.0022	388.8583	-4.3287	0.0022	0.0023	0.0022	0.0023	23	Rpf-	4
E5	0.0448	0.7246	0.0012	482.5391	-5.2777	0.0012	0.0013	0.0012	0.0013	22	Rpf+	1
E6	0.0451	0.6658	0.0011	468.1671	-5.4113	NA	NA	0.0011	0.0011	21	Rpf-	3
E7	0.0276	1.9183	0.0023	317.9778	-3.2787	0.0022	0.0024	0.0022	0.0023	21	Rpf-	4
E8	0.0528	1.0316	0.0023	280.7359	-4.9952	0.0023	0.0024	0.0023	0.0023	20	Rpf+	2
F1	0.0508	1.073	0.0023	289.5393	-4.9467	0.0023	0.0024	0.0023	0.0024	24	Rpf+	4
F2	0.0479	0.398	0.0015	790.0305	-5.1041	0.0014	0.0015	0.0014	0.0015	22	Rpf+	1
F3	0.0501	-0.9865	0.0028	408.6529	-4.8924	0.0027	0.0028	0.0027	0.0028	19	Rpf+	4
F4	0.0279	1.9649	0.0025	322.4108	-3.2931	0.0024	0.0026	0.0024	0.0025	24	Rpf-	1
F6	0.0472	0.9972	0.0026	423.243	-4.8064	0.0026	0.0027	0.0026	0.0027	19	Rpf-	2
F8	-0.0558	-17.7566	0.0019	2480.0017	-2.6382	NA	NA	0.0017	0.0021	20	Rpf+	4
