Curve	b0	A	umax	L	z	umax.lw	umax.up	umax.lw.FI	umax.up.FI	isolate	treatment	rep
A1	0.0764	1.083	0.002	618.52	-3.9056	0.0019	0.002	0.0019	0.002	1	Rpf+	2
A2	0.0486	0.791	0.0016	374.2077	-4.7755	0.0016	0.0017	0.0016	0.0017	4	Rpf+	3
A3	0.0586	0.931	0.0012	552.2605	-5.1241	0.0012	0.0012	0.0012	0.0012	1	Rpf-	1
A4	0.0967	1.173	0.0027	424.5482	-3.7864	0.0026	0.0028	0.0026	0.0027	5	Rpf+	2
A5	0.0478	0.774	0.0015	373.9797	-4.6092	0.0015	0.0016	0.0015	0.0016	4	Rpf+	1
A6	0.0508	0.719	0.0016	456.3502	-4.6179	0.0016	0.0017	0.0016	0.0017	3	Rpf+	2
A7	0.0582	0.92	0.0011	565.3848	-5.1243	NA	NA	0.0011	0.0011	1	Rpf-	4
A8	0.05	0.659	0.0015	524.8064	-4.3874	0.0014	0.0015	0.0014	0.0015	6	Rpf+	1
B1	0.0421	0.729	0.0015	387.1186	-4.6601	0.0014	0.0015	0.0015	0.0015	4	Rpf-	2
B2	0.0444	0.872	7.00E-04	747.5992	-4.4321	NA	NA	7.00E-04	7.00E-04	2	Rpf-	4
B3	0.0507	0.67	0.0015	506.329	-4.4148	0.0014	0.0015	0.0015	0.0015	6	Rpf+	4
B4	0.0757	1.074	0.0021	614.6482	-3.8415	0.002	0.0022	0.0021	0.0022	1	Rpf+	1
B5	0.0427	0.736	0.0014	379.2037	-4.5376	0.0014	0.0015	0.0014	0.0015	4	Rpf-	4
B6	0.0916	1.104	0.0026	424.9266	-3.9253	0.0025	0.0027	0.0025	0.0026	5	Rpf-	2
B7	0.0843	1.25	0.0024	399.2138	-3.2821	0.0022	0.0025	0.0023	0.0025	5	Rpf+	1
B8	0.0477	0.657	0.0014	544.879	-4.4273	0.0013	0.0014	0.0013	0.0014	6	Rpf-	1
C1	0.0503	0.836	7.00E-04	688.3882	-4.638	NA	NA	7.00E-04	7.00E-04	2	Rpf+	3
C2	0.0841	1.248	0.0024	389.2916	-3.2486	0.0023	0.0026	0.0023	0.0025	5	Rpf+	4
C3	0.0478	0.682	0.0015	435.1648	-4.6734	0.0015	0.0016	0.0015	0.0016	3	Rpf-	1
C4	0.0885	1.222	0.0026	399.4657	-3.3635	0.0024	0.0027	0.0025	0.0026	5	Rpf+	3
C5	0.0954	1.095	0.0027	412.7861	-3.9573	0.0026	0.0028	0.0026	0.0027	5	Rpf-	1
C6	0.046	0.679	0.0015	449.5247	-4.6361	0.0015	0.0016	0.0015	0.0015	3	Rpf-	2
C7	0.0506	0.673	0.0015	507.074	-4.441	0.0014	0.0015	0.0015	0.0015	6	Rpf+	2
C8	0.0515	0.808	8.00E-04	802.8442	-4.1479	NA	NA	8.00E-04	8.00E-04	2	Rpf-	1
D1	0.0495	0.661	0.0014	535.2303	-4.5618	0.0014	0.0015	0.0014	0.0015	6	Rpf-	3
D2	0.0511	0.688	0.0016	436.4209	-4.6288	0.0016	0.0017	0.0016	0.0016	3	Rpf+	3
D3	0.0513	0.667	0.0015	497.5072	-4.4082	0.0014	0.0015	0.0015	0.0015	6	Rpf+	3
D4	0.048	0.829	7.00E-04	671.5594	-4.8982	NA	NA	7.00E-04	8.00E-04	2	Rpf+	2
D5	0.0518	0.7	0.0017	438.4519	-4.6593	0.0016	0.0017	0.0016	0.0017	3	Rpf+	1
D6	0.0968	1.126	0.0028	410.535	-3.9088	0.0027	0.0029	0.0027	0.0028	5	Rpf-	3
D7	0.058	0.778	0.0011	822.2646	-4.2067	0.0011	0.0011	0.0011	0.0011	2	Rpf-	2
D8	0.0468	0.656	0.0014	555.6413	-4.4869	0.0014	0.0015	0.0014	0.0015	6	Rpf-	4
E1	0.0589	0.915	0.0012	550.364	-4.9068	NA	NA	0.0011	0.0012	1	Rpf-	2
E2	0.0436	0.73	0.0015	375.6757	-4.5791	0.0014	0.0015	0.0014	0.0015	4	Rpf-	3
E3	0.0475	0.76	0.0015	361.646	-4.6116	0.0015	0.0016	0.0015	0.0016	4	Rpf+	4
E4	0.0637	1.117	0.0011	413.5269	-2.8062	0.001	0.0012	0.001	0.0012	1	Rpf-	3
E5	0.0493	0.655	0.0014	523.431	-4.3265	0.0014	0.0015	0.0014	0.0014	6	Rpf-	2
E6	0.0755	1.067	0.0021	610.643	-3.8642	0.002	0.0022	0.0021	0.0021	1	Rpf+	4
E7	0.047	0.7	0.0015	450.8016	-4.7895	0.0015	0.0016	0.0015	0.0015	3	Rpf-	3
E8	0.0502	0.827	8.00E-04	692.6908	-4.7983	NA	NA	8.00E-04	8.00E-04	2	Rpf+	4
F1	0.0491	0.72	0.0016	440.2892	-4.9688	0.0016	0.0017	0.0016	0.0017	3	Rpf+	4
F2	0.0476	0.956	7.00E-04	775.0348	-4.1527	NA	NA	6.00E-04	7.00E-04	2	Rpf-	3
F3	0.0433	0.728	0.0015	388.2626	-4.6406	0.0014	0.0015	0.0014	0.0015	4	Rpf-	1
F4	0.0801	1.081	0.0021	615.742	-3.8338	0.002	0.0022	0.0021	0.0022	1	Rpf+	3
F5	0.0461	0.698	0.0015	454.8679	-4.7791	0.0015	0.0016	0.0015	0.0015	3	Rpf-	4
F6	0.0469	0.751	0.0015	365.4301	-4.7036	0.0015	0.0016	0.0015	0.0016	4	Rpf+	2
F7	0.0541	0.792	0.001	762.8799	-4.4084	NA	NA	0.001	0.001	2	Rpf+	1
F8	0.0957	1.134	0.0028	435.4921	-3.5292	0.0026	0.0029	0.0027	0.0029	5	Rpf-	4
